filename,age,gender
0_Michelle Obama's Best Advice For Students | How To Succeed In Life.wav,57,1
10_Michelle Obama's Best Advice For Students | How To Succeed In Life.wav,57,1
20_Michelle Obama's Best Advice For Students | How To Succeed In Life.wav,57,1
30_Michelle Obama's Best Advice For Students | How To Succeed In Life.wav,57,1
40_Michelle Obama's Best Advice For Students | How To Succeed In Life.wav,57,1
50_Michelle Obama's Best Advice For Students | How To Succeed In Life.wav,57,1
60_Michelle Obama's Best Advice For Students | How To Succeed In Life.wav,57,1
70_Michelle Obama's Best Advice For Students | How To Succeed In Life.wav,57,1
80_Michelle Obama's Best Advice For Students | How To Succeed In Life.wav,57,1
90_Michelle Obama's Best Advice For Students | How To Succeed In Life.wav,57,1
100_Michelle Obama's Best Advice For Students | How To Succeed In Life.wav,57,1
110_Michelle Obama's Best Advice For Students | How To Succeed In Life.wav,57,1
120_Michelle Obama's Best Advice For Students | How To Succeed In Life.wav,57,1
130_Michelle Obama's Best Advice For Students | How To Succeed In Life.wav,57,1
140_Michelle Obama's Best Advice For Students | How To Succeed In Life.wav,57,1
150_Michelle Obama's Best Advice For Students | How To Succeed In Life.wav,57,1
160_Michelle Obama's Best Advice For Students | How To Succeed In Life.wav,57,1
170_Michelle Obama's Best Advice For Students | How To Succeed In Life.wav,57,1
180_Michelle Obama's Best Advice For Students | How To Succeed In Life.wav,57,1
0_This Speech SHOCKED Everyone | Pitbull.wav,40,0
10_This Speech SHOCKED Everyone | Pitbull.wav,40,0
20_This Speech SHOCKED Everyone | Pitbull.wav,40,0
30_This Speech SHOCKED Everyone | Pitbull.wav,40,0
40_This Speech SHOCKED Everyone | Pitbull.wav,40,0
50_This Speech SHOCKED Everyone | Pitbull.wav,40,0
60_This Speech SHOCKED Everyone | Pitbull.wav,40,0
70_This Speech SHOCKED Everyone | Pitbull.wav,40,0
80_This Speech SHOCKED Everyone | Pitbull.wav,40,0
90_This Speech SHOCKED Everyone | Pitbull.wav,40,0
100_This Speech SHOCKED Everyone | Pitbull.wav,40,0
110_This Speech SHOCKED Everyone | Pitbull.wav,40,0
120_This Speech SHOCKED Everyone | Pitbull.wav,40,0
130_This Speech SHOCKED Everyone | Pitbull.wav,40,0
140_This Speech SHOCKED Everyone | Pitbull.wav,40,0
150_This Speech SHOCKED Everyone | Pitbull.wav,40,0
160_This Speech SHOCKED Everyone | Pitbull.wav,40,0
170_This Speech SHOCKED Everyone | Pitbull.wav,40,0
180_This Speech SHOCKED Everyone | Pitbull.wav,40,0
190_This Speech SHOCKED Everyone | Pitbull.wav,40,0
200_This Speech SHOCKED Everyone | Pitbull.wav,40,0
210_This Speech SHOCKED Everyone | Pitbull.wav,40,0
220_This Speech SHOCKED Everyone | Pitbull.wav,40,0
230_This Speech SHOCKED Everyone | Pitbull.wav,40,0
240_This Speech SHOCKED Everyone | Pitbull.wav,40,0
250_This Speech SHOCKED Everyone | Pitbull.wav,40,0
260_This Speech SHOCKED Everyone | Pitbull.wav,40,0
270_This Speech SHOCKED Everyone | Pitbull.wav,40,0
280_This Speech SHOCKED Everyone | Pitbull.wav,40,0
290_This Speech SHOCKED Everyone | Pitbull.wav,40,0
300_This Speech SHOCKED Everyone | Pitbull.wav,40,0
0_It Only Takes 5 Minutes A DAY To CHANGE YOUR LIFE | Arianna Huffington.wav,71,1
10_It Only Takes 5 Minutes A DAY To CHANGE YOUR LIFE | Arianna Huffington.wav,71,1
20_It Only Takes 5 Minutes A DAY To CHANGE YOUR LIFE | Arianna Huffington.wav,71,1
30_It Only Takes 5 Minutes A DAY To CHANGE YOUR LIFE | Arianna Huffington.wav,71,1
40_It Only Takes 5 Minutes A DAY To CHANGE YOUR LIFE | Arianna Huffington.wav,71,1
50_It Only Takes 5 Minutes A DAY To CHANGE YOUR LIFE | Arianna Huffington.wav,71,1
60_It Only Takes 5 Minutes A DAY To CHANGE YOUR LIFE | Arianna Huffington.wav,71,1
70_It Only Takes 5 Minutes A DAY To CHANGE YOUR LIFE | Arianna Huffington.wav,71,1
80_It Only Takes 5 Minutes A DAY To CHANGE YOUR LIFE | Arianna Huffington.wav,71,1
90_It Only Takes 5 Minutes A DAY To CHANGE YOUR LIFE | Arianna Huffington.wav,71,1
100_It Only Takes 5 Minutes A DAY To CHANGE YOUR LIFE | Arianna Huffington.wav,71,1
110_It Only Takes 5 Minutes A DAY To CHANGE YOUR LIFE | Arianna Huffington.wav,71,1
120_It Only Takes 5 Minutes A DAY To CHANGE YOUR LIFE | Arianna Huffington.wav,71,1
130_It Only Takes 5 Minutes A DAY To CHANGE YOUR LIFE | Arianna Huffington.wav,71,1
140_It Only Takes 5 Minutes A DAY To CHANGE YOUR LIFE | Arianna Huffington.wav,71,1
150_It Only Takes 5 Minutes A DAY To CHANGE YOUR LIFE | Arianna Huffington.wav,71,1
160_It Only Takes 5 Minutes A DAY To CHANGE YOUR LIFE | Arianna Huffington.wav,71,1
170_It Only Takes 5 Minutes A DAY To CHANGE YOUR LIFE | Arianna Huffington.wav,71,1
180_It Only Takes 5 Minutes A DAY To CHANGE YOUR LIFE | Arianna Huffington.wav,71,1
190_It Only Takes 5 Minutes A DAY To CHANGE YOUR LIFE | Arianna Huffington.wav,71,1
200_It Only Takes 5 Minutes A DAY To CHANGE YOUR LIFE | Arianna Huffington.wav,71,1
"0_""What The Rich Will NEVER Tell You About Their Success..."".wav",25,0
"10_""What The Rich Will NEVER Tell You About Their Success..."".wav",25,0
"20_""What The Rich Will NEVER Tell You About Their Success..."".wav",25,0
"30_""What The Rich Will NEVER Tell You About Their Success..."".wav",25,0
"40_""What The Rich Will NEVER Tell You About Their Success..."".wav",25,0
"50_""What The Rich Will NEVER Tell You About Their Success..."".wav",25,0
"60_""What The Rich Will NEVER Tell You About Their Success..."".wav",25,0
"70_""What The Rich Will NEVER Tell You About Their Success..."".wav",25,0
"80_""What The Rich Will NEVER Tell You About Their Success..."".wav",25,0
"90_""What The Rich Will NEVER Tell You About Their Success..."".wav",25,0
"100_""What The Rich Will NEVER Tell You About Their Success..."".wav",25,0
"110_""What The Rich Will NEVER Tell You About Their Success..."".wav",25,0
"120_""What The Rich Will NEVER Tell You About Their Success..."".wav",25,0
"130_""What The Rich Will NEVER Tell You About Their Success..."".wav",25,0
"140_""What The Rich Will NEVER Tell You About Their Success..."".wav",25,0
"150_""What The Rich Will NEVER Tell You About Their Success..."".wav",25,0
"160_""What The Rich Will NEVER Tell You About Their Success..."".wav",25,0
"170_""What The Rich Will NEVER Tell You About Their Success..."".wav",25,0
"180_""What The Rich Will NEVER Tell You About Their Success..."".wav",25,0
"190_""What The Rich Will NEVER Tell You About Their Success..."".wav",25,0
"200_""What The Rich Will NEVER Tell You About Their Success..."".wav",25,0
"210_""What The Rich Will NEVER Tell You About Their Success..."".wav",25,0
"220_""What The Rich Will NEVER Tell You About Their Success..."".wav",25,0
"230_""What The Rich Will NEVER Tell You About Their Success..."".wav",25,0
"240_""What The Rich Will NEVER Tell You About Their Success..."".wav",25,0
0_What Ancient People Knew About Success | Ryan Holiday.wav,34,0
10_What Ancient People Knew About Success | Ryan Holiday.wav,34,0
20_What Ancient People Knew About Success | Ryan Holiday.wav,34,0
30_What Ancient People Knew About Success | Ryan Holiday.wav,34,0
40_What Ancient People Knew About Success | Ryan Holiday.wav,34,0
50_What Ancient People Knew About Success | Ryan Holiday.wav,34,0
60_What Ancient People Knew About Success | Ryan Holiday.wav,34,0
70_What Ancient People Knew About Success | Ryan Holiday.wav,34,0
80_What Ancient People Knew About Success | Ryan Holiday.wav,34,0
90_What Ancient People Knew About Success | Ryan Holiday.wav,34,0
100_What Ancient People Knew About Success | Ryan Holiday.wav,34,0
110_What Ancient People Knew About Success | Ryan Holiday.wav,34,0
120_What Ancient People Knew About Success | Ryan Holiday.wav,34,0
130_What Ancient People Knew About Success | Ryan Holiday.wav,34,0
140_What Ancient People Knew About Success | Ryan Holiday.wav,34,0
